nome_canzone,tema,conteggio_parole
Alborosie - Volume unico (feat. Caparezza),religione,1
Caparezza - Argenti vive,religione,1
Caparezza - Autoipnotica,religione,1
Caparezza - Autovorbit,politica,1
Caparezza - Autovorbit,religione,1
Caparezza - Bonobo Power,politica,1
Caparezza - Cacca nello spazio,politica,2
Caparezza - Cacca nello spazio,amore,1
Caparezza - Cammina solo,religione,1
Caparezza - Cammina solo,amore,1
Caparezza - Campione Dei Novanta,religione,1
Caparezza - Canthology,religione,1
Caparezza - Canzone a metà,tecnologia,1
Caparezza - China Town,politica,1
Caparezza - China Town,amore,1
Caparezza - Come Pripyat,amore,1
Caparezza - Confusianesimo,amore,1
Caparezza - Cose Che Non Capisco,politica,1
Caparezza - Cosmonaufrago,politica,1
Caparezza - Cosmonaufrago,religione,1
Caparezza - Cosmonaufrago,tecnologia,1
Caparezza - Cosmonaufrago,amore,1
Caparezza - Cover,amore,1
Caparezza - Curiosity (oltre il bagliore),amore,1
Caparezza - Dagli all'untore,politica,1
Caparezza - Dagli all'untore,religione,1
Caparezza - Dagli all'untore,amore,1
Caparezza - Darktar,religione,1
Caparezza - Dindalè dindalò,amore,1
CapaRezza - Epocalisse,religione,1
Caparezza - Exuvia,politica,1
Caparezza - Eyes Wide Shut,tecnologia,1
CapaRezza - Felici ma trimoni,religione,1
Caparezza - Figli d'arte,politica,1
"Caparezza - Fluttuo, Orbito",religione,1
Caparezza - Follie Preferenziali,religione,1
Caparezza - Follie Preferenziali,amore,1
Caparezza - Forever Jung,religione,1
Caparezza - Fuck the Violenza,politica,1
Caparezza - Fuck the Violenza,religione,1
Caparezza - Fuck the Violenza,amore,1
Caparezza - Fugadà,politica,1
caparezza - giuda me,politica,1
Caparezza - Goodbye Malinconia,politica,1
Caparezza - Il Dito Medio Di Galileo,religione,1
Caparezza - Il Mondo Dopo Lewis Carroll,religione,1
Caparezza - Il pianeta delle idee,religione,1
Caparezza - Il Secondo Secondo Me,politica,1
Caparezza - Il Secondo Secondo Me,amore,1
Caparezza - Il Silenzio Dei Colpevoli,politica,1
Caparezza - Il Testo Che Avrei Voluto Scrivere,religione,1
Caparezza - Inno Verdano,politica,1
Caparezza - Inno Verdano,amore,1
Caparezza - Io diventerò qualcuno,politica,2
Caparezza - Io Sono Il Viaggio,politica,1
Caparezza - Io Sono Il Viaggio,religione,1
Caparezza - Italia alita gli ani,politica,1
Caparezza - KEVIN SPACEY,amore,1
Caparezza - L'età dei figuranti,politica,1
Caparezza - L'Infinto,religione,1
Caparezza - L'Infinto,tecnologia,1
Caparezza - L'Infinto,amore,1
"Caparezza - L'ottavo, Capitolo",politica,1
Caparezza - La Caduta Di Atlante,amore,1
Caparezza - La Fitta Sassaiola Dell'Ingiuria,amore,2
Caparezza - La grande opera,politica,1
Caparezza - La legge dell'ortica,politica,1
Caparezza - La legge dell'ortica,amore,2
Caparezza - La rivoluzione del sessintutto,religione,1
Caparezza - La scelta,amore,1
Caparezza - Limiti,amore,1
Caparezza - Mammamiamamma,amore,1
Caparezza - Mea Culpa,politica,1
Caparezza - Messa In Moto,religione,2
Caparezza - Mi è impossibile,amore,1
Caparezza - Mica Van Gogh,tecnologia,1
Caparezza - Nessun dorma,politica,1
Caparezza - Ninna nanna di mazzaro,amore,1
Caparezza - Non mettere le mani in tasca,politica,1
Caparezza - Non mettere le mani in tasca,religione,1
Caparezza - Non Siete Stato Voi,politica,2
Caparezza - Non Siete Stato Voi,religione,1
Caparezza - Pathosfera,amore,1
Caparezza - Pimpami la storia,amore,1
Caparezza - Prisoner 709,politica,1
Caparezza - Sogno Di Potere,religione,1
Caparezza - Sono Il Tuo Sogno Eretico,religione,1
CapaRezza - Sono troppo stitico,amore,1
Caparezza - The NDE,amore,1
Caparezza - Ti giri,politica,1
CapaRezza - Torna Catalessi,politica,1
Caparezza - Troppo politico,politica,2
Caparezza - Tutti Dormano,politica,1
Caparezza - Tutto Ciò Che C'è,amore,1
Caparezza - Ulisse (You Listen),politica,1
Caparezza - Ulisse (You Listen),religione,1
Caparezza - Uomini di molta fede,amore,2
Caparezza - Vengo dalla luna,politica,1
Caparezza - Vengo dalla luna,amore,1
Caparezza - Vieni a ballare in puglia,amore,1
Clementino - Babylon (feat. Caparezza),politica,1
Clementino - Babylon (feat. Caparezza),amore,2
Ex-Otago - Ci Vuole Molto Coraggio (feat. Caparezza),politica,1
Linea 77 - Play & Rewind (feat. Hell Raton & Caparezza),politica,1
Lucariello - Fore C'a Capa (feat. Caparezza),politica,1
Murubutu - Wordsworth (feat. Caparezza),religione,1
Two Fingerz - Capra (feat. Caparezza),amore,1
